obs,Expenditures,Revenues,Exports,Imports,IntDef,ExtDef,d_Expenditures,d_Revenues,d_Exports,d_Imports,d_IntDef,d_ExtDef,d_d_Expenditures,d_d_Revenues,d_d_Exports,d_d_Imports,d_d_IntDef,d_d_ExtDef,l_Expenditures,l_Revenues,l_Exports,l_Imports,l_IntDef,l_ExtDef,ld_Expenditures,ld_Revenues,ld_Exports,ld_Imports,ld_IntDef,ld_ExtDef,sd_Expenditures,sd_Revenues,sd_Exports,sd_Imports,sd_IntDef,sd_ExtDef
1947Q1,441.656198347107,511.877685950413,78.275,46.029,70.2214876033058,32.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09053174761571,6.23808570187154,4.36022826721247,3.82927163263118,4.25165435541059,3.47339400454155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947Q2,442.491803278688,505.178142076503,77.452,46.885,62.6863387978142,30.567,0.835604931580974,-6.69954387391005,-0.823000000000008,0.855999999999995,-7.5351488054916,-1.679,NA,NA,NA,NA,NA,NA,6.09242194061244,6.22491112365852,4.34965838964115,3.84769779487159,4.13814354188661,3.41992099566026,0.00189019299672388,-0.0131745782130235,-0.0105698775713172,0.0184261622404098,-0.113510813523981,-0.0534730088812898,NA,NA,NA,NA,NA,NA
1947Q3,479.880494505494,508.879120879121,73.659,41.587,28.9986263736264,32.072,37.388691226806,3.70097880261801,-3.79299999999999,-5.29799999999999,-33.6877124241878,1.505,36.5530862952251,10.4005226765281,-2.96999999999998,-6.15399999999999,-26.1525636186962,3.184,6.17353710312359,6.23221050480877,4.29944633503555,3.72778761842892,3.36724846243797,3.46798337534021,0.0811151625111579,0.00729938115025153,-0.0502120546056064,-0.119910176442671,-0.770895079448634,0.0480623796799478,NA,NA,NA,NA,NA,NA
1947Q4,440.732231404959,526.661157024793,65.338,43.86,85.9289256198347,21.478,-39.148263100535,17.7820361456721,-8.32100000000001,2.273,56.9302992462083,-10.594,-76.5369543273411,14.0810573430541,-4.52800000000002,7.57099999999999,90.6180116703961,-12.099,6.0884375060126,6.26655737595285,4.17957379658294,3.78100274298974,4.45352050827751,3.06702915543602,-0.0850995971109949,0.0343468711440833,-0.119872538452609,0.0532151245608246,1.08627204583954,-0.400954219904181,NA,NA,NA,NA,NA,NA
1948Q1,446.601063829787,526.643617021277,62.335,49.453,80.0425531914893,12.882,5.86883242482799,-0.0175400035160465,-3.00299999999999,5.593,-5.8863724283454,-8.596,45.017095525363,-17.7995761491881,5.31800000000002,3.32000000000001,-62.8166716745537,1.998,6.10166572146723,6.26652407124571,4.13252306579694,3.90102272356928,4.38255840815092,2.5558309881247,0.0132282154546308,-3.33047071459092e-005,-0.0470507307859984,0.120019980579539,-0.0709621001265974,-0.511198167311326,4.94486548267997,14.765931070864,-15.94,3.424,9.8210655881835,-19.364
1948Q2,455.899244332494,511.871032745592,56.426,51.415,55.9717884130982,5.011,9.298180502707,-14.772584275685,-5.909,1.962,-24.0707647783911,-7.871,3.42934807787901,-14.755044272169,-2.90600000000001,-3.63100000000001,-18.1843923500457,0.725000000000002,6.12227182968895,6.23807270414134,4.03293004518723,3.93992995868115,4.02484778545868,1.61163549597759,0.020606108221715,-0.0284513671043696,-0.09959302060971,0.0389072351118731,-0.35771062269224,-0.944195492147111,13.407441053806,6.69289066908902,-21.026,4.53,-6.714550384716,-25.556
1948Q3,473.207729468599,496.161835748792,57.708,54.072,22.9541062801933,3.636,17.308485136105,-15.7091969968,1.282,2.657,-33.0176821329049,-1.375,8.01030463339799,-0.936612721115011,7.191,0.695000000000007,-8.9469173545138,6.496,6.15953446643532,6.20690215525821,4.05539581208353,3.99031649179805,3.133496843386,1.29088417631523,0.0372626367463749,-0.0311705488831278,0.0224657668962971,0.0503865331168991,-0.891350942072672,-0.320751319662355,-6.67276503689504,-12.717285130329,-15.951,12.485,-6.0445200934331,-28.436
1948Q4,477.344827586207,492.234482758621,55.669,53.157,14.8896551724138,2.512,4.13709811760799,-3.92735299017096,-2.039,-0.915000000000006,-8.0644511077795,-1.124,-13.171387018497,11.7818440066291,-3.321,-3.57200000000001,24.9532310251254,0.251,6.16823913870126,6.19895519393171,4.01942343903785,3.97324979884404,2.70066668809423,0.921079248605952,0.00870467226594052,-0.00794696132650063,-0.0359723730456736,-0.0170666929540109,-0.43283015529177,-0.36980492770928,36.612596181248,-34.426674266172,-9.669,9.297,-71.0392704474209,-18.966
1949Q1,490.48399122807,474.163157894737,62.346,51.622,-16.3208333333333,10.724,13.139163641863,-18.071324863884,6.677,-1.535,-31.2104885057471,8.212,9.00206552425504,-14.143971873713,8.716,-0.61999999999999,-23.1460373979676,9.336,6.19539264081341,6.16155147743449,4.13269951609856,3.94394793821252,NA,2.37248422037371,0.0271535021121485,-0.0374037164972139,0.113276077060712,-0.0293018606315223,NA,1.45140497176776,43.882927398283,-52.48045912654,0.0109999999999957,2.169,-96.3633865248226,-2.158
1949Q2,507.329809725159,463.176532769556,61.841,50.855,-44.1532769556026,10.986,16.845818497089,-10.986625125181,-0.504999999999995,-0.767000000000003,-27.8324436222693,0.262,3.70665485522596,7.08469973870297,-7.182,0.767999999999994,3.3780448834778,-7.95,6.2291613043782,6.1381082616972,4.12456657491168,3.92897844607756,NA,2.39662173492043,0.0337686635647954,-0.0234432157372968,-0.0081329411868829,-0.0149694921349601,NA,0.0241375145467155,51.430565392665,-48.694499976036,5.415,-0.560000000000002,-100.125065368701,5.975
1949Q3,510.11313559322,467.165466101695,56.689,48.774,-42.9476694915255,7.915,2.78332586806101,3.98893333213903,-5.152,-2.081,1.2056074640771,-3.071,-14.062492629028,14.9755584573201,-4.64700000000001,-1.31399999999999,29.0380510863464,-3.333,6.23463253561325,6.14668351204766,4.03758018838525,3.88719738399249,NA,2.06875969333298,0.00547123123504267,0.00857525035045725,-0.0869863865264309,-0.0417810620850694,NA,-0.327862041587453,36.905406124621,-28.996369647097,-1.019,-5.298,-65.9017757717188,4.279
1949Q4,496.756223175966,454.201931330472,49.102,49.497,-42.5542918454936,-0.395000000000003,-13.356912417254,-12.963534771223,-7.587,0.722999999999999,0.393377646031901,-8.31,-16.140238285315,-16.952468103362,-2.435,2.80399999999999,-0.812229818045196,-5.239,6.20809940913597,6.1185418818211,3.89389976716846,3.90191206167742,NA,NA,-0.0265331264772746,-0.0281416302265587,-0.143680421216794,0.014714677684927,NA,NA,19.411395589759,-38.032551428149,-6.567,-3.66,-57.4439470179074,-2.907
1950Q1,569.799780701754,505.228289473684,48.269,50.884,-64.5714912280702,-2.615,73.043557525788,51.026358143212,-0.832999999999998,1.387,-22.0171993825766,-2.22,86.400469943042,63.989892914435,6.754,0.664000000000001,-22.4105770286085,6.09000000000001,6.34528503719493,6.22501038549149,3.87678953265648,3.92954853229396,NA,NA,0.137185628058955,0.106468503670395,-0.0171102345119767,0.0276364706165473,NA,NA,79.315789473684,31.065131578947,-14.077,-0.738,-48.2506578947369,-13.339
1950Q2,517.433839479393,548.129067245119,48.861,53.703,30.6952277657267,-4.84200000000001,-52.365941222361,42.900777771435,0.591999999999999,2.819,95.2667189937969,-2.22700000000001,-125.409498748149,-8.12558037177701,1.425,1.432,117.283918376373,-0.007000000000013,6.24888167054984,6.30651078338648,3.88897953225953,3.98346886587616,3.42410719513949,NA,-0.0964033666450854,0.0815003978949864,0.0121899996030534,0.0539203335821998,NA,NA,10.104029754234,84.952534475563,-12.98,2.84800000000001,74.8485047213293,-15.828
1950Q3,469.298692810458,600.667755991285,50.111,66.291,131.369063180828,-16.18,-48.135146668935,52.538688746166,1.25,12.588,100.673835415101,-11.338,4.23079455342605,9.63791097473103,0.658000000000001,9.76899999999999,5.40711642130439,-9.11099999999998,6.15123943739368,6.39804196302453,3.9142405448691,4.19405414137108,4.87801063830602,NA,-0.0976422331561668,0.0915311796380527,0.0252610126095671,0.210585275494914,1.45390344316653,NA,-40.814442782762,133.50228988959,-6.578,17.517,174.316732672354,-24.095
1950Q4,499.081818181818,634.729696969697,54.123,66.394,135.647878787879,-12.271,29.78312537136,34.0619409784119,4.012,0.103000000000009,4.278815607051,3.909,77.9182720402949,-18.4767477677541,2.762,-12.485,-96.3950198080503,15.247,6.21277004660306,6.4531992342043,3.99125923413878,4.19560669095376,4.91006240159144,NA,0.0615306092093881,0.0551572711797688,0.0770186892696754,0.00155254958268625,0.0320517632854243,NA,2.32559500585199,180.527765639225,5.021,16.897,178.202170633373,-11.876
